ALIGNED_UNALIGNED_CHUNK_RATIO,ANT_REL,Adj-AbsDiffNorm,Adj-Ratio-MinMax,Adv-AbsDiffNorm,Adv-Ratio-MinMax,AlignedWordCnt_Normalized_0.600Th,AllTokens-AbsDiffNorm,AllTokens-Ratio-MinMax,DEP-NSUBJ-DOBJ-ROOT-MATCHED,DEP-NSUBJ-DOBJ-ROOT-UNMATCHED,DEP-NSUBJ-DOBJ-UNMATCHED,EQUI,GMM-weighted-score,HEAD_UNALIGN,INTERPRETABLE_CH_CW_SCORE_NORMALIZED_NO_PENALTY,LO-UNI-SYN-AVG-DEPINFO,LO-UNI-SYN-HYP-AVG-CLEAN,LO-UNI-SYN-HYP-AVG-CR-UALN-PEN-CLEAN,NMOD_UNALIGN,NOALI,Nouns-AbsDiffNorm,Nouns-Ratio-MinMax,OA-ADJ-MKAntSyn-AVG-TH0.500,OA-ADV-MKAntSyn-AVG-TH0.500,OA-NOUN-MKAntSyn-AVG-TH0.500,OA-NOUNVERB_Mult-MKAntSyn-AVG-TH0.500,OA-VERB-MKAntSyn-AVG-TH0.500,OAC2C_AWSP_FALSE-MIKOLOV-ANT_SYN-AVG-TH-0.450-0.600,OA_AWSP_FALSE-MIKOLOV_ANTSYN-AVG-TH0.450,OBJ_UNALIGN,OWA_UAP_AVGNORM_0.600_ppdbTh-0.400_UADFactor-0.400_SSIMWeight-0.000,Other-AbsDiffNorm,Other-Ratio-MinMax,PENALTY_SCORE,PPDBScore0.600_ppdbTh-0.400,RV-MIK-Pen-1.001.000.200.401.00,RV-MIKOLOV-Penalized-AVERAGE,RV_LOGISTIC_REGRESSION_SCORE_2,SENT2VEC_CDSSM_LR_SCORE,SENT2VEC_CDSSM_SCORE,SENT2VEC_DSSM_LR_SCORE,SENT2VEC_DSSM_SCORE,SKIP_THOUGHTS_LOGISTIC_REGRESSION_SCORE,UNALN_NOUN_CNT,UNALN_VERB_CNT,VectorCosineMethod-Wt0.950-simTh0.450,Verbs-AbsDiffNorm,Verbs-Ratio-MinMax,W_MTX_MIKOLOV_ANTSYN-TH0.500,Gold
0.167,0.000,1.000,0.000,0.000,0.000,0.286,0.000,1.000,0.000,0.000,0.000,0.000,0.209,1.000,0.086,0.286,0.286,0.204,1.000,0.857,0.091,0.833,0.000,0.000,0.364,0.000,0.000,0.200,0.286,0.000,0.204,1.000,0.000,1.250,0.286,0.550,0.552,0.403,0.523,0.406,0.395,0.444,0.413,7.000,1.000,0.406,1.000,0.000,0.286,1.300
1.000,0.000,0.000,1.000,0.000,0.000,0.833,0.143,0.750,0.000,0.000,0.000,0.250,0.844,1.000,0.400,0.714,0.714,0.633,0.000,0.500,0.200,0.667,1.000,0.000,0.800,0.000,0.000,0.556,0.714,0.500,0.633,0.000,0.000,0.300,0.714,0.839,0.864,0.676,0.598,0.727,0.654,0.764,0.528,0.000,2.000,0.765,0.000,1.000,0.868,3.000
0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,0.989,0.000,1.000,0.800,0.833,0.778,0.000,0.000,0.143,0.750,0.000,0.000,0.857,0.686,0.800,1.000,0.947,0.000,1.000,0.000,0.000,0.000,1.000,0.612,0.612,0.558,0.635,0.867,0.773,0.833,0.624,0.000,0.000,0.955,0.200,0.667,0.479,5.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.002,1.000,0.000,0.000,0.117,0.070,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.750,0.000,0.143,0.156,0.302,0.372,0.021,0.253,0.035,0.352,8.000,3.000,0.000,0.333,0.500,0.000,0.000
0.667,0.000,1.000,0.000,0.000,0.000,0.400,0.231,0.625,0.000,0.000,0.000,0.000,0.237,1.000,0.280,0.308,0.308,0.223,1.000,0.600,0.273,0.571,0.000,0.000,0.182,0.000,0.000,0.286,0.308,0.000,0.223,0.000,0.000,1.000,0.308,0.385,0.489,0.310,0.453,0.377,0.270,0.322,0.471,2.000,1.000,0.311,1.000,0.000,0.521,1.200
0.200,0.000,0.000,0.000,0.000,0.000,0.400,0.000,1.000,0.000,0.000,0.000,0.167,0.533,1.000,0.167,0.400,0.400,0.304,1.000,0.833,0.143,0.750,0.000,0.000,0.571,0.000,0.000,0.286,0.400,1.000,0.304,1.000,0.000,0.667,0.400,0.558,0.558,0.284,0.539,0.468,0.412,0.447,0.383,3.000,2.000,0.385,0.000,1.000,0.400,1.200
0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.167,0.714,1.000,0.000,0.000,0.500,0.923,0.000,0.800,0.800,0.833,0.778,0.000,0.000,0.200,0.667,0.000,0.000,0.800,0.800,1.000,0.833,0.833,0.000,0.778,0.000,0.000,0.000,0.833,0.916,0.916,0.836,0.616,0.775,0.637,0.717,0.788,0.000,0.000,0.836,0.000,1.000,0.931,5.000
3.000,0.000,1.000,0.000,0.000,0.000,0.333,0.077,0.857,0.000,0.000,0.000,0.000,0.274,1.000,0.450,0.308,0.308,0.223,0.000,0.250,0.273,0.571,0.000,0.000,0.364,0.000,0.000,0.191,0.308,0.000,0.223,0.000,0.000,0.500,0.308,0.533,0.538,0.309,0.471,0.280,0.337,0.367,0.553,1.000,0.000,0.307,1.000,0.000,0.265,3.600
0.250,0.000,0.000,1.000,0.000,0.000,0.200,0.000,1.000,0.000,0.000,0.000,0.000,0.225,1.000,0.080,0.300,0.200,0.136,1.000,0.800,0.000,1.000,1.000,0.000,0.177,0.000,0.000,0.000,0.306,0.000,0.136,1.000,0.000,1.250,0.200,0.324,0.504,0.255,0.392,0.111,0.276,0.217,0.404,3.000,1.000,0.203,1.000,0.000,0.306,0.000
1.500,0.000,1.000,0.000,0.000,0.000,0.600,0.091,0.833,0.000,0.000,0.000,0.400,0.750,0.000,0.520,0.500,0.546,0.446,0.000,0.400,0.250,0.600,0.000,0.000,0.500,0.500,1.000,0.500,0.546,1.000,0.446,0.000,0.000,0.200,0.546,0.766,0.744,0.559,0.523,0.538,0.572,0.643,0.633,3.000,0.000,0.550,0.000,1.000,0.548,1.200
