ALIGNED_UNALIGNED_CHUNK_RATIO,ANT_REL,Adj-AbsDiffNorm,Adj-Ratio-MinMax,Adv-AbsDiffNorm,Adv-Ratio-MinMax,AlignedWordCnt_Normalized_0.600Th,AllTokens-AbsDiffNorm,AllTokens-Ratio-MinMax,DEP-NSUBJ-DOBJ-ROOT-MATCHED,DEP-NSUBJ-DOBJ-ROOT-UNMATCHED,DEP-NSUBJ-DOBJ-UNMATCHED,EQUI,GMM-weighted-score,HEAD_UNALIGN,INTERPRETABLE_CH_CW_SCORE_NORMALIZED_NO_PENALTY,LO-UNI-SYN-AVG-DEPINFO,LO-UNI-SYN-HYP-AVG-CLEAN,LO-UNI-SYN-HYP-AVG-CR-UALN-PEN-CLEAN,NMOD_UNALIGN,NOALI,Nouns-AbsDiffNorm,Nouns-Ratio-MinMax,OA-ADJ-MKAntSyn-AVG-TH0.500,OA-ADV-MKAntSyn-AVG-TH0.500,OA-NOUN-MKAntSyn-AVG-TH0.500,OA-NOUNVERB_Mult-MKAntSyn-AVG-TH0.500,OA-VERB-MKAntSyn-AVG-TH0.500,OAC2C_AWSP_FALSE-MIKOLOV-ANT_SYN-AVG-TH-0.450-0.600,OA_AWSP_FALSE-MIKOLOV_ANTSYN-AVG-TH0.450,OBJ_UNALIGN,OWA_UAP_AVGNORM_0.600_ppdbTh-0.400_UADFactor-0.400_SSIMWeight-0.000,Other-AbsDiffNorm,Other-Ratio-MinMax,PENALTY_SCORE,PPDBScore0.600_ppdbTh-0.400,RV-MIK-Pen-1.001.000.200.401.00,RV-MIKOLOV-Penalized-AVERAGE,RV_LOGISTIC_REGRESSION_SCORE_2,SENT2VEC_CDSSM_LR_SCORE,SENT2VEC_CDSSM_SCORE,SENT2VEC_DSSM_LR_SCORE,SENT2VEC_DSSM_SCORE,SKIP_THOUGHTS_LOGISTIC_REGRESSION_SCORE,UNALN_NOUN_CNT,UNALN_VERB_CNT,VectorCosineMethod-Wt0.950-simTh0.450,Verbs-AbsDiffNorm,Verbs-Ratio-MinMax,W_MTX_MIKOLOV_ANTSYN-TH0.500,Gold
0.16699999999999998,0.0,1.0,0.0,0.0,0.0,0.28600000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.209,1.0,0.086,0.28600000000000003,0.28600000000000003,0.204,1.0,0.857,0.091,0.833,0.0,0.0,0.364,0.0,0.0,0.2,0.28600000000000003,0.0,0.204,1.0,0.0,1.25,0.28600000000000003,0.55,0.552,0.40299999999999997,0.523,0.406,0.395,0.444,0.413,7.0,1.0,0.406,1.0,0.0,0.28600000000000003,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.833,0.14300000000000002,0.75,0.0,0.0,0.0,0.25,0.8440000000000001,1.0,0.4,0.7140000000000001,0.7140000000000001,0.633,0.0,0.5,0.2,0.667,1.0,0.0,0.8,0.0,0.0,0.556,0.7140000000000001,0.5,0.633,0.0,0.0,0.3,0.7140000000000001,0.8390000000000001,0.8640000000000001,0.6759999999999999,0.598,0.727,0.654,0.764,0.528,0.0,2.0,0.765,0.0,1.0,0.868,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9890000000000001,0.0,1.0,0.8,0.833,0.778,0.0,0.0,0.14300000000000002,0.75,0.0,0.0,0.857,0.6859999999999999,0.8,1.0,0.9470000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.612,0.612,0.5579999999999999,0.635,0.867,0.773,0.833,0.624,0.0,0.0,0.955,0.2,0.667,0.479,5.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.002,1.0,0.0,0.0,0.11699999999999999,0.07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.14300000000000002,0.156,0.302,0.37200000000000005,0.021,0.253,0.035,0.35200000000000004,8.0,3.0,0.0,0.33299999999999996,0.5,0.0,0.0
0.667,0.0,1.0,0.0,0.0,0.0,0.4,0.231,0.625,0.0,0.0,0.0,0.0,0.237,1.0,0.28,0.308,0.308,0.223,1.0,0.6,0.273,0.5710000000000001,0.0,0.0,0.182,0.0,0.0,0.28600000000000003,0.308,0.0,0.223,0.0,0.0,1.0,0.308,0.385,0.489,0.31,0.45299999999999996,0.377,0.27,0.322,0.47100000000000003,2.0,1.0,0.311,1.0,0.0,0.521,1.0
0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.16699999999999998,0.5329999999999999,1.0,0.16699999999999998,0.4,0.4,0.304,1.0,0.833,0.14300000000000002,0.75,0.0,0.0,0.5710000000000001,0.0,0.0,0.28600000000000003,0.4,1.0,0.304,1.0,0.0,0.667,0.4,0.5579999999999999,0.5579999999999999,0.284,0.539,0.46799999999999997,0.41200000000000003,0.447,0.38299999999999995,3.0,2.0,0.385,0.0,1.0,0.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16699999999999998,0.7140000000000001,1.0,0.0,0.0,0.5,0.9229999999999999,0.0,0.8,0.8,0.833,0.778,0.0,0.0,0.2,0.667,0.0,0.0,0.8,0.8,1.0,0.833,0.833,0.0,0.778,0.0,0.0,0.0,0.833,0.9159999999999999,0.9159999999999999,0.836,0.616,0.775,0.637,0.7170000000000001,0.7879999999999999,0.0,0.0,0.836,0.0,1.0,0.9309999999999999,5.0
3.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,0.077,0.857,0.0,0.0,0.0,0.0,0.27399999999999997,1.0,0.45,0.308,0.308,0.223,0.0,0.25,0.273,0.5710000000000001,0.0,0.0,0.364,0.0,0.0,0.191,0.308,0.0,0.223,0.0,0.0,0.5,0.308,0.5329999999999999,0.5379999999999999,0.309,0.47100000000000003,0.28,0.337,0.36700000000000005,0.5529999999999999,1.0,0.0,0.307,1.0,0.0,0.265,4.0
0.25,0.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.225,1.0,0.08,0.3,0.2,0.136,1.0,0.8,0.0,1.0,1.0,0.0,0.177,0.0,0.0,0.0,0.306,0.0,0.136,1.0,0.0,1.25,0.2,0.324,0.504,0.255,0.392,0.111,0.276,0.217,0.40399999999999997,3.0,1.0,0.203,1.0,0.0,0.306,0.0
1.5,0.0,1.0,0.0,0.0,0.0,0.6,0.091,0.833,0.0,0.0,0.0,0.4,0.75,0.0,0.52,0.5,0.546,0.446,0.0,0.4,0.25,0.6,0.0,0.0,0.5,0.5,1.0,0.5,0.546,1.0,0.446,0.0,0.0,0.2,0.546,0.7659999999999999,0.7440000000000001,0.5589999999999999,0.523,0.5379999999999999,0.5720000000000001,0.643,0.633,3.0,0.0,0.55,0.0,1.0,0.5479999999999999,1.0
